AvgSpotLen_l	BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	sample_type_s	Assay_Type_s	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	geo_loc_name_s	host_s	isolate_s	isolation_source_s	strain_s
75	SAMN05193497	SRX1817289	BTS1	2016-06-14	2	0	SRR3621904	SRS1480027	BTS1	BTS1_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193498	SRX1817291	BTS2	2016-06-14	1	0	SRR3621905	SRS1480028	BTS2	BTS2_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193507	SRX1817292	BTS24	2016-06-14	0	0	SRR3621906	SRS1480029	BTS24	BTS24_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193508	SRX1817293	BTS25	2016-06-14	0	0	SRR3621907	SRS1480030	BTS25	BTS25_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193509	SRX1817294	BTS26	2016-06-14	0	0	SRR3621908	SRS1480031	BTS26	BTS26_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193510	SRX1817295	BTS27	2016-06-14	0	0	SRR3621909	SRS1480032	BTS27	BTS27_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193511	SRX1817296	BTS31	2016-06-14	2	1	SRR3621910	SRS1480033	BTS31	BTS31_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193512	SRX1817297	BTS32	2016-06-14	0	0	SRR3621911	SRS1480034	BTS32	BTS32_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193513	SRX1817298	BTS34	2016-06-14	0	0	SRR3621912	SRS1480035	BTS34	BTS34_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193514	SRX1817299	BTS35	2016-06-14	0	0	SRR3621913	SRS1480036	BTS35	BTS35_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193515	SRX1817300	BTS36	2016-06-14	0	0	SRR3621914	SRS1480037	BTS36	BTS36_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193516	SRX1817301	BTS37	2016-06-14	0	0	SRR3621915	SRS1480038	BTS37	BTS37_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193499	SRX1817302	BTS4	2016-06-14	0	0	SRR3621916	SRS1480039	BTS4	BTS4_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193517	SRX1817303	BTS40	2016-06-14	0	0	SRR3621917	SRS1480040	BTS40	BTS40_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193518	SRX1817305	BTS42	2016-06-14	0	0	SRR3621918	SRS1480041	BTS42	BTS42_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193519	SRX1817306	BTS43	2016-06-14	0	0	SRR3621919	SRS1480042	BTS43	BTS43_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193520	SRX1817307	BTS44	2016-06-14	0	0	SRR3621920	SRS1480043	BTS44	BTS44_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193521	SRX1817308	BTS45	2016-06-14	0	0	SRR3621921	SRS1480044	BTS45	BTS45_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193522	SRX1817309	BTS46	2016-06-14	0	0	SRR3621922	SRS1480045	BTS46	BTS46_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
75	SAMN05193523	SRX1817310	BTS50	2016-06-14	0	0	SRR3621923	SRS1480046	BTS50	BTS50_tissue	AMPLICON	PRJNA323995	Microbe, viral or environmental	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	human metagenome	ILLUMINA	2016-06-27	SRP076038	01-Feb-2015	Canada: London	Homo sapiens	unk	breast tissue	unk
